incident_id,date_time,zone,incident_type,severity,injuries,fatalities,root_cause,corrective_action,days_to_close
INC-2066,2025-09-20T03:00:00,Zone-D (Workshop),Chemical spill,Medium,0,0,PTW not followed,Upgrade sensors,9
INC-2067,2025-02-27T12:00:00,Zone-C (Oxygen Plant),Gas leak detected,Low,0,0,Untrained personnel,Revise PTW procedure,7
INC-2068,2025-12-20T10:00:00,Zone-B (Blast Furnace),Electrical arc flash,Medium,0,0,Inadequate PPE,Retrain staff,26
INC-2069,2025-06-13T09:00:00,Zone-A (Coke Oven),Fall from height,Medium,0,0,Equipment failure,Mandatory PPE audit,3
INC-2070,2025-12-27T15:00:00,Zone-A (Coke Oven),Chemical spill,High,2,0,PTW not followed,Install additional ventilation,28
INC-2071,2025-10-15T07:00:00,Zone-B (Blast Furnace),Crane overload,Medium,0,0,Lack of gas clearance,Retrain staff,19
INC-2072,2025-02-16T02:00:00,Zone-B (Blast Furnace),Gas leak detected,Low,0,0,Lack of gas clearance,Install additional ventilation,17
INC-2073,2025-07-15T13:00:00,Zone-D (Workshop),Electrical arc flash,Medium,0,0,Untrained personnel,Install additional ventilation,3
INC-2074,2025-04-15T05:00:00,Zone-C (Oxygen Plant),Worker trapped in confined space,Low,0,0,Communication breakdown,Upgrade sensors,26
INC-2075,2025-04-17T01:00:00,Zone-D (Workshop),Worker trapped in confined space,Medium,0,0,Inadequate PPE,Install additional ventilation,24
INC-2076,2025-06-12T21:00:00,Zone-A (Coke Oven),Electrical arc flash,Low,0,0,Lack of gas clearance,Install additional ventilation,20
INC-2077,2025-02-07T13:00:00,Zone-B (Blast Furnace),Worker trapped in confined space,Medium,0,0,Lack of gas clearance,Upgrade sensors,23
INC-2078,2025-01-08T17:00:00,Zone-C (Oxygen Plant),H2S exposure,Low,0,0,Communication breakdown,Revise PTW procedure,6
INC-2079,2025-09-11T20:00:00,Zone-C (Oxygen Plant),Worker trapped in confined space,Low,0,0,Lack of gas clearance,Revise PTW procedure,26
INC-2080,2025-10-21T02:00:00,Zone-A (Coke Oven),Explosion (near miss),Low,0,0,Untrained personnel,Mandatory PPE audit,21
INC-2081,2025-02-22T14:00:00,Zone-C (Oxygen Plant),Gas leak detected,Medium,0,0,Equipment failure,Mandatory PPE audit,6
INC-2082,2025-09-09T00:00:00,Zone-A (Coke Oven),Worker trapped in confined space,Low,0,0,PTW not followed,Mandatory PPE audit,1
INC-2083,2025-01-31T01:00:00,Zone-A (Coke Oven),Fall from height,High,0,0,Equipment failure,Revise PTW procedure,13
INC-2084,2025-04-13T10:00:00,Zone-A (Coke Oven),H2S exposure,Low,0,0,Untrained personnel,Install additional ventilation,8
INC-2085,2025-08-08T16:00:00,Zone-C (Oxygen Plant),Explosion (near miss),Low,0,0,Lack of gas clearance,Mandatory PPE audit,12
INC-2086,2025-03-23T12:00:00,Zone-A (Coke Oven),Equipment fire,Medium,0,0,PTW not followed,Mandatory PPE audit,2
INC-2087,2025-10-01T16:00:00,Zone-D (Workshop),Explosion (near miss),Low,0,0,Inadequate PPE,Revise PTW procedure,3
INC-2088,2025-11-08T19:00:00,Zone-B (Blast Furnace),Explosion (near miss),Low,0,0,Communication breakdown,Revise PTW procedure,24
INC-2089,2025-06-15T14:00:00,Zone-D (Workshop),Fall from height,Medium,0,0,Untrained personnel,Mandatory PPE audit,25
INC-2090,2025-06-17T08:00:00,Zone-D (Workshop),Gas leak detected,Low,0,0,PTW not followed,Mandatory PPE audit,12
INC-2091,2025-01-07T13:00:00,Zone-A (Coke Oven),Electrical arc flash,Critical,2,0,PTW not followed,Mandatory PPE audit,8
INC-2092,2025-10-14T14:00:00,Zone-A (Coke Oven),Equipment fire,Medium,0,0,Untrained personnel,Revise PTW procedure,3
INC-2093,2025-01-30T23:00:00,Zone-D (Workshop),Chemical spill,Critical,3,0,Communication breakdown,Retrain staff,17
INC-2094,2025-04-02T03:00:00,Zone-D (Workshop),Worker trapped in confined space,Medium,0,0,Communication breakdown,Mandatory PPE audit,2
INC-2095,2025-10-24T22:00:00,Zone-B (Blast Furnace),Fall from height,Medium,0,0,Inadequate PPE,Revise PTW procedure,28
INC-2096,2025-08-04T01:00:00,Zone-D (Workshop),Chemical spill,Critical,2,1,Inadequate PPE,Upgrade sensors,3
INC-2097,2025-05-19T09:00:00,Zone-A (Coke Oven),Equipment fire,Low,0,0,Lack of gas clearance,Upgrade sensors,15
INC-2098,2025-11-15T03:00:00,Zone-A (Coke Oven),H2S exposure,Medium,0,0,Inadequate PPE,Upgrade sensors,15
INC-2099,2025-07-30T11:00:00,Zone-A (Coke Oven),Worker trapped in confined space,Medium,0,0,PTW not followed,Revise PTW procedure,27
INC-2100,2025-01-28T12:00:00,Zone-C (Oxygen Plant),Equipment fire,Low,0,0,Lack of gas clearance,Upgrade sensors,12
INC-2101,2025-09-28T12:00:00,Zone-C (Oxygen Plant),Explosion (near miss),Medium,0,0,PTW not followed,Retrain staff,13
INC-2102,2025-11-05T16:00:00,Zone-B (Blast Furnace),Worker trapped in confined space,Medium,0,0,Equipment failure,Retrain staff,26
INC-2103,2025-04-06T10:00:00,Zone-A (Coke Oven),Fall from height,Low,0,0,PTW not followed,Upgrade sensors,27
INC-2104,2025-10-01T11:00:00,Zone-A (Coke Oven),Explosion (near miss),Medium,0,0,Lack of gas clearance,Retrain staff,3
INC-2105,2025-05-15T23:00:00,Zone-D (Workshop),Equipment fire,Critical,0,1,Lack of gas clearance,Retrain staff,15
INC-2106,2025-02-04T13:00:00,Zone-D (Workshop),Electrical arc flash,Low,0,0,Equipment failure,Retrain staff,13
INC-2107,2025-10-19T06:00:00,Zone-B (Blast Furnace),Equipment fire,Low,0,0,Inadequate PPE,Revise PTW procedure,15
INC-2108,2025-04-12T11:00:00,Zone-B (Blast Furnace),Explosion (near miss),Low,0,0,Equipment failure,Install additional ventilation,29
INC-2109,2025-11-24T00:00:00,Zone-C (Oxygen Plant),Electrical arc flash,Low,0,0,PTW not followed,Install additional ventilation,7
INC-2110,2025-12-25T22:00:00,Zone-A (Coke Oven),Electrical arc flash,Low,0,0,Untrained personnel,Revise PTW procedure,16
INC-2111,2025-11-27T20:00:00,Zone-C (Oxygen Plant),Electrical arc flash,Medium,0,0,Inadequate PPE,Upgrade sensors,1
INC-2112,2025-08-06T16:00:00,Zone-A (Coke Oven),Explosion (near miss),Medium,0,0,Lack of gas clearance,Install additional ventilation,17
INC-2113,2025-09-02T00:00:00,Zone-B (Blast Furnace),Equipment fire,High,0,0,PTW not followed,Upgrade sensors,9
INC-2114,2025-12-31T07:00:00,Zone-A (Coke Oven),Fall from height,High,3,0,Inadequate PPE,Upgrade sensors,6
INC-2115,2025-06-11T11:00:00,Zone-C (Oxygen Plant),Gas leak detected,Medium,0,0,Untrained personnel,Revise PTW procedure,19
INC-2116,2025-04-08T00:00:00,Zone-B (Blast Furnace),Crane overload,Medium,0,0,Communication breakdown,Revise PTW procedure,6
INC-2117,2025-12-01T19:00:00,Zone-A (Coke Oven),Fall from height,Low,0,0,Communication breakdown,Upgrade sensors,1
INC-2118,2025-12-26T09:00:00,Zone-C (Oxygen Plant),Fall from height,Medium,0,0,PTW not followed,Revise PTW procedure,23
INC-2119,2025-05-02T03:00:00,Zone-C (Oxygen Plant),Gas leak detected,Critical,0,0,Communication breakdown,Upgrade sensors,25
